;metro_distances;districts;prices;prices_per_meter;meters;materials;heights;floors
599;1;Центральный;12000000;201342;59,60008344;Кирпичный;4;3
600;7;Петроградский;13000000;295455;43,99993231;Кирпичный;4;3
601;7;Петроградский;13200000;297297;44,4000444;Кирпичный;4;3
602;30;Ленинградская область;4800000;112150;42,79982167;Кирпичный;4;3
603;270;Ленинградская область;2300000;54762;41,99992696;Кирпичный;4;3
604;45;Колпинский;6290000;99841;63,00017027;Кирпичный;4;3
605;10;Петроградский;12000000;222222;54,000054;Кирпичный;4;3
606;9;Василеостровский;15000000;245902;60,99991053;Кирпичный;4;3
607;75;Колпинский;6700000;152273;43,99992119;Кирпичный;4;3
608;6;Василеостровский;10900000;236957;45,99990716;Кирпичный;4;3
609;8;Петродворцовый;5500000;130332;42,1999202;Кирпичный;4;3
610;20;Ленинградская область;6100000;142523;42,80010946;Кирпичный;4;3
611;12;Курортный;17900000;288710;61,99993073;Кирпичный;4;3
612;13;Центральный;12999999;217391;59,80007912;Кирпичный;4;3
613;9;Центральный;18900000;187129;100,999845;Кирпичный;4;4
614;75;Кронштадтский;9650000;111047;86,90014138;Кирпичный;4;4
615;10;Адмиралтейский;10700000;239910;44,60005836;Кирпичный;4;4
616;10;Адмиралтейский;12950000;253922;50,99991336;Кирпичный;4;4
617;16;Адмиралтейский;10000000;184502;54,19995447;Кирпичный;4;4
618;11;Красногвардейский;5250000;123529;42,50014167;Кирпичный;4;4
619;4;Невский;7000000;140987;49,64996773;Кирпичный;4;4
620;14;Адмиралтейский;45000000;330882;136,0001451;Кирпичный;4;4
621;12;Адмиралтейский;12500000;174581;71,60000229;Кирпичный;4;4
622;8;Центральный;16000000;228245;70,10011172;Кирпичный;4;4
623;9;Петродворцовый;6999000;162390;43,09994458;Кирпичный;4;4
624;9;Фрунзенский;14564227;231619;62,88010483;Кирпичный;4;4
625;9;Фрунзенский;13510574;222323;60,77002379;Кирпичный;4;4
626;5;Фрунзенский;12000000;178042;67,39982701;Кирпичный;4;4
627;7;Центральный;9500000;206522;45,99994189;Кирпичный;4;4
628;13;Фрунзенский;9390000;152683;61,49997053;Кирпичный;4;4
