level,oik,tik,uik,"Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования",Число погашенных избирательных бюллетеней,"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования",Число недействительных избирательных бюллетеней,Число действительных избирательных бюллетеней,"Число открепительных удостоверений, полученных участковой избирательной комиссией","Число открепительных удостоверений, выданных участковой избирательной комиссией избирателям","Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке",Число погашенных на избирательном участке открепительных удостоверений,"Число открепительных удостоверений, выданных территориальной комиссией избирателям",Число утраченных открепительных удостоверений,Число утраченных избирательных бюллетеней,"Число избирательных бюллетеней, не учтенных при получении",Вишневский Борис Геннадьевич,Вишневский Борис Иванович,Вишневский Борис Лазаревич,Евсеев Александр Иванович,Костров Ярослав Всеволодович,Лебедева Екатерина Олеговна,Ржаненков Александр Николаевич,Садовская Дарья Сергеевна,Суходольский Вадим Александрович,url
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №16,УИК №2199,1719,1500,569,11,920,11,569,32,548,0,0,0,0,0,0,0,0,5,6,214,46,81,27,119,31,19,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916933&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №16,УИК №2200,1140,1000,295,10,695,10,295,9,296,0,0,0,0,0,0,0,0,3,2,109,32,35,19,63,23,10,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916933&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №16,УИК №2201,1361,1000,437,14,549,14,436,14,436,0,0,0,0,0,0,0,0,5,6,134,45,55,20,106,53,12,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916933&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №16,УИК №2226,25,750,0,25,725,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,2,1,0,18,4,0,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916933&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2233,1192,1000,657,6,337,6,654,23,637,0,0,0,0,0,0,0,0,3,4,61,37,18,20,450,39,5,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2234,1986,1500,993,27,480,26,991,30,987,0,0,0,0,0,0,0,0,19,11,150,62,54,32,596,47,16,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2235,1311,1000,425,20,555,20,424,16,428,0,0,0,0,0,0,0,0,9,3,123,39,58,22,129,29,16,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2236,1328,1000,390,7,603,7,390,8,389,0,0,0,0,0,0,0,0,7,3,119,45,78,15,87,30,5,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2237,3164,2000,1164,6,830,6,1163,52,1117,0,0,0,0,0,0,0,0,23,8,193,110,105,70,451,124,33,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2238,1944,1500,653,8,839,8,653,18,643,0,0,0,0,0,0,0,0,11,6,194,83,97,27,167,49,9,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2239,2133,2000,696,34,1270,34,695,28,701,0,0,0,0,0,0,0,0,8,16,234,91,117,19,148,53,15,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
