level,oik,tik,uik,"Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования",Число погашенных избирательных бюллетеней,"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования",Число недействительных избирательных бюллетеней,Число действительных избирательных бюллетеней,"Число открепительных удостоверений, полученных участковой избирательной комиссией","Число открепительных удостоверений, выданных участковой избирательной комиссией избирателям","Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке",Число погашенных на избирательном участке открепительных удостоверений,"Число открепительных удостоверений, выданных территориальной комиссией избирателям",Число утраченных открепительных удостоверений,Число утраченных избирательных бюллетеней,"Число избирательных бюллетеней, не учтенных при получении",Вишневский Борис Геннадьевич,Вишневский Борис Иванович,Вишневский Борис Лазаревич,Евсеев Александр Иванович,Костров Ярослав Всеволодович,Лебедева Екатерина Олеговна,Ржаненков Александр Николаевич,Садовская Дарья Сергеевна,Суходольский Вадим Александрович,url
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2214,1920,1500,633,8,859,8,623,28,603,0,0,0,0,0,0,0,0,6,9,196,56,84,34,163,44,11,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2215,2085,1500,646,11,843,11,640,29,622,0,0,0,0,0,0,0,0,11,7,226,67,92,20,130,50,19,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2216,1348,1000,470,22,508,22,470,20,472,0,0,0,0,0,0,0,0,9,10,167,59,61,21,87,46,12,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2217,1607,1500,415,11,1074,11,415,13,413,0,0,0,0,0,0,0,0,8,3,153,42,62,10,90,38,7,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2218,1576,1500,490,15,995,15,490,18,487,0,0,0,0,0,0,0,0,13,11,167,46,56,23,118,46,7,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2219,2008,1500,532,10,958,10,532,25,517,0,0,0,0,0,0,0,0,9,5,174,51,72,22,127,46,11,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2220,2063,1500,589,18,893,18,587,18,587,0,0,0,0,0,0,0,0,5,10,177,65,80,39,148,52,11,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2221,1891,1500,541,13,946,13,534,13,534,0,0,0,0,0,0,0,0,6,11,178,55,85,16,127,43,13,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2222,1636,1500,428,85,987,85,425,12,498,0,0,0,0,0,0,0,0,8,5,145,42,46,25,166,52,9,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2223,2074,1500,605,7,888,7,605,30,582,0,0,0,0,0,0,0,0,12,10,185,69,82,28,137,47,12,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2224,1508,1500,465,5,1030,5,461,13,453,0,0,0,0,0,0,0,0,8,11,143,57,60,17,108,37,12,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2225,2129,1500,601,9,890,9,600,24,585,0,0,0,0,0,0,0,0,8,8,201,65,82,16,136,54,15,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2263,2198,1600,672,11,917,11,672,63,620,0,0,0,0,0,0,0,0,13,4,144,76,110,48,147,62,16,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2264,1850,1250,558,11,681,11,555,22,544,0,0,0,0,0,0,0,0,7,3,158,32,65,15,204,49,11,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2265,1508,1200,394,27,779,27,394,16,405,0,0,0,0,0,0,0,0,7,3,118,32,68,17,119,33,8,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2266,1508,1250,395,56,799,56,395,17,434,0,0,0,0,0,0,0,0,9,1,85,46,68,34,148,36,7,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2267,1761,1500,571,16,912,16,570,19,567,0,0,0,0,0,0,1,0,6,7,142,61,83,55,154,45,14,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2268,1619,1500,452,11,1037,11,446,17,440,0,0,0,0,0,0,0,0,7,10,106,51,49,32,144,32,9,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2269,500,450,149,18,283,18,149,5,162,0,0,0,0,0,0,0,0,3,3,38,17,29,10,44,12,6,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2270,1675,1500,528,3,969,3,527,7,523,0,0,0,0,0,0,0,0,7,1,129,17,55,20,247,40,7,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2271,147,500,4,1,495,1,4,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
