id,genre,popularity,duration,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
7MSYSOobsombc1mbDWFxtD,chicago soul,35,231173,0.634,0.645,0,0.246,-9.2,1,0.0376,93.047,0.677
1K3LRUEcUz5FMtPYyg0F45,folk-pop,77,163133,0.682,0.471,0,0.0908,-9.182,1,0.0301,79.907,0.421
4QX5pZQpQTgVlkqfUTDim0,adult standards,51,142560,0.29,0.259,0,0.308,-13.967,1,0.0306,97.173,0.606
0PDCewmZCp0P5s00bptcdd,adult standards,75,171960,0.685,0.623,0.00234,0.0295,-11.146,1,0.042,126.739,0.896
4MzXwWMhyBbmu6hOcLVD49,latin,91,205090,0.731,0.573,5.22E-05,0.113,-10.059,0,0.0544,109.928,0.145
5RubKOuDoPn5Kj5TLVxSxY,latin,89,130013,0.811,0.637,0.000572,0.118,-4.835,0,0.0591,92.025,0.471
2XIc1pqjXV3Cr2BQUGNBck,latin,94,203200,0.856,0.618,0,0.0866,-4.892,1,0.286,81.993,0.391
36DHxTW2xdr9GG15T9oK9L,latin,74,165199,0.716,0.522,6.50E-05,0.113,-6.834,1,0.0582,76.993,0.224
5fROvzNghPid8mbKNDYvpJ,latin,79,191526,0.688,0.881,0,0.0804,-4.889,0,0.0474,123.013,0.677
23XjN1s3DZC8Q9ZwuorYY4,latin,77,139576,0.763,0.597,1.83E-05,0.111,-5.054,1,0.0416,126.054,0.194
0tjZv2hChdHZCW1zFXpy1J,latin,78,162151,0.86,0.725,9.10E-05,0.0994,-6.7,1,0.249,145.001,0.375
0Lsis3LB0XAK6XlTHXaJk2,latin,74,213609,0.762,0.861,1.08E-06,0.0956,-4.075,0,0.0652,133.037,0.588
26QApq0cuO9brJigr0C0W4,latin,83,217768,0.584,0.411,4.47E-05,0.0955,-7.147,0,0.0838,169.934,0.412
26w9NTiE9NGjW1ZvIOd1So,latin,85,156430,0.883,0.6,7.94E-06,0.0931,-7.188,1,0.37,113.903,0.691
67ACYA3UI6QMNtHX6b34wX,latin,76,162299,0.643,0.727,0,0.123,-5.506,1,0.0389,90.019,0.295
5jZ32WOU7sqzDYbzINwMUk,latin,76,163053,0.612,0.561,0,0.145,-6.054,1,0.0851,191.911,0.393
7kjEqI6eZ7YlFrGhxixnlN,latin,76,221186,0.693,0.549,4.73E-05,0.324,-6.098,1,0.0577,139.988,0.473
09WAnxdBuebQopKhJT3oZS,latin,74,157673,0.43,0.412,0,0.324,-5.372,1,0.0281,90.872,0.0508
3KJ3opyV29269SXkPrc19l,latin,76,151506,0.636,0.656,7.97E-06,0.287,-5.542,0,0.0676,171.918,0.439
2Oycxb8QbPkpHTo8ZrmG0B,dance pop,83,169333,0.781,0.67,0,0.0761,-3.912,0,0.0452,127.99,0.595
2Iv6YBslkxslMJQsxshZh5,musica jibara,64,199720,0.764,0.523,0,0.352,-7.371,1,0.0406,118.671,0.962
1daDRI9ahBonbWD8YcxOIB,dance pop,82,196453,0.672,0.642,0,0.1,-4.035,1,0.0313,121.981,0.494
5Ryu0SlsYjKh78RkJUONFr,atl hip hop,68,170858,0.829,0.667,0.000521,0.048,-5.366,1,0.166,160.082,0.545
