flats;metro_distances;districts;prices;prices_per_meter;meters;materials
1435;9;Ленинградская область;8646160;148000;58,42;Монолитный
1436;17;Приморский;15750000;315695;49,8899254;Монолитный
1437;10;Ленинградская область;6700000;111667;59,9998209;Монолитный
1438;60;Красносельский;11400000;178125;64;Монолитный
1439;30;Красносельский;12699000;215603;58,89992254;Монолитный
1440;9;Ленинградская область;6886500;150000;45,91;Монолитный
1441;17;Выборгский;11562000;205000;56,4;Монолитный
1442;39;Пушкинский;10639772;122719;86,70028276;Монолитный
1443;21;Пушкинский;6950000;115641;60,0997916;Монолитный
1444;30;Пушкинский;6900000;122558;56,29987435;Монолитный
1445;17;Невский;10800000;191829;56,30014231;Монолитный
1446;13;Выборгский;13990000;230744;60,62996221;Монолитный
1447;24;Калининский;10900000;191228;57,00002092;Монолитный
1448;20;Выборгский;8850000;209220;42,29997132;Монолитный
1449;24;Пушкинский;8720000;142951;60,99992305;Монолитный
1450;18;Приморский;14500000;226563;63,99985876;Монолитный
1451;13;Пушкинский;7250000;118852;61,00023559;Монолитный
1452;10;Выборгский;11000000;200364;54,90008185;Монолитный
1453;10;Василеостровский;36743626;336357;109,2399623;Монолитный
1454;9;Ленинградская область;4822560;102000;47,28;Монолитный
1455;24;Невский;6990000;113936;61,35023171;Монолитный
1456;19;Выборгский;32909020;334102;98,49991919;Монолитный
1457;33;Пушкинский;7700000;168860;45,59990525;Монолитный
1458;11;Ленинградская область;7350000;110030;66,79996365;Монолитный
1459;75;Пушкинский;10478500;137712;76,08995585;Монолитный
1460;20;Приморский;11750000;175373;67,00005132;Монолитный
1461;45;Пушкинский;7500000;117188;63,99972693;Монолитный
1462;6;Адмиралтейский;15700000;257377;61,00001166;Монолитный
1463;17;Невский;12500000;206612;60,49987416;Монолитный
1464;7;Приморский;9300000;179537;51,79990754;Монолитный
1465;10;Московский;12999000;195768;66,40002452;Монолитный
1466;17;Ленинградская область;8390000;146935;57,10007827;Монолитный
1467;13;Василеостровский;18800000;268571;70,0001117;Монолитный
1468;16;Выборгский;7500000;153061;49,00007187;Монолитный
1469;16;Петроградский;20799000;399981;51,99997;Монолитный
1470;27;Приморский;8290000;140271;59,09988522;Монолитный
1471;48;Приморский;10199000;193163;52,79996687;Монолитный
1472;15;Московский;17500000;238420;73,39988256;Монолитный
1473;8;Невский;12200000;198052;61,59998384;Монолитный
1474;18;Красногвардейский;8400000;150000;56;Монолитный
1475;12;Выборгский;12750000;185051;68,89992489;Монолитный
1476;15;Петроградский;65900000;642927;102,4999728;Монолитный
1477;15;Пушкинский;13600000;222951;60,99995066;Монолитный
1478;15;Красногвардейский;14590000;181920;80,20008795;Монолитный
1479;33;Красносельский;7250000;97973;73,99997959;Монолитный
1480;54;Колпинский;6800000;117708;57,7700751;Монолитный
1481;11;Адмиралтейский;22900000;283066;80,89986081;Монолитный
1482;75;Ленинградская область;6200000;105442;58,80009863;Монолитный
1483;15;Петроградский;30000000;267618;112,100083;Монолитный
1484;9;Центральный;25300000;316250;80;Монолитный
1485;15;Петроградский;74750000;501678;148,9999561;Монолитный
1486;27;Ленинградская область;5500000;98214;56,00016291;Монолитный
1487;60;Красносельский;12650000;175451;72,09990254;Монолитный
1488;30;Ленинградская область;6700000;129594;51,69992438;Монолитный
1489;45;Красносельский;12400000;211604;58,60002646;Монолитный
1490;10;Петроградский;65000000;631068;102,9999937;Монолитный
1491;9;Невский;10800000;154286;69,99987037;Монолитный
1492;8;Выборгский;14304200;193300;74;Монолитный
1493;18;Приморский;6808763;182052;37,40009997;Монолитный
1494;24;Василеостровский;14900000;248333;60,00008054;Монолитный
1495;16;Приморский;14950000;335202;44,59997255;Монолитный
1496;12;Красногвардейский;7500000;126050;59,50019833;Монолитный
1497;21;Красногвардейский;8300000;155140;53,50006446;Монолитный
1498;14;Петроградский;37000000;330357;112,0000484;Монолитный
1499;15;Петроградский;36000000;324324;111,000111;Монолитный
1500;60;Ленинградская область;8340000;130313;63,99975444;Монолитный
1501;19;Приморский;12900000;223958;57,60008573;Монолитный
1502;18;Приморский;11600000;204369;56,76007614;Монолитный
1503;10;Выборгский;17000000;261538;65,00011471;Монолитный
1504;90;Пушкинский;6000000;136986;43,80009636;Монолитный
1505;24;Приморский;9900000;173502;57,05986098;Монолитный
1506;14;Приморский;15700000;275826;56,91994228;Монолитный
1507;13;Центральный;19500000;346359;56,29996622;Монолитный
1508;19;Василеостровский;21800000;283117;76,99996821;Монолитный
1509;9;Адмиралтейский;15990000;237100;67,43989878;Монолитный
1510;10;Петроградский;29700000;390687;76,01993412;Монолитный
1511;45;Красносельский;8300000;130709;63,49983551;Монолитный
1512;72;Пушкинский;6976000;122172;57,09982647;Монолитный
1513;24;Приморский;9800000;171749;57,06001199;Монолитный
1514;9;Адмиралтейский;17800000;273006;65,20003223;Монолитный
1515;13;Выборгский;15850000;261422;60,62993933;Монолитный
1516;60;Ленинградская область;6700000;135081;49,59986971;Монолитный
1517;15;Василеостровский;15200000;310204;49,00001289;Монолитный
1518;10;Петроградский;50274000;489857;102,6299512;Монолитный
1519;12;Приморский;10800000;184300;58,60010852;Монолитный
1520;45;Невский;8800000;154930;56,79984509;Монолитный
1521;39;Ленинградская область;6500000;135304;48,03996925;Монолитный
1522;10;Петроградский;40750000;499877;81,52005393;Монолитный
1523;36;Московский;9160000;166910;54,87987538;Монолитный
1524;75;Пушкинский;6600000;150685;43,79998009;Монолитный
1525;15;Выборгский;8690000;183721;47,29998204;Монолитный
1526;20;Выборгский;9200000;164756;55,8401515;Монолитный
1527;13;Выборгский;14990000;248755;60,26009527;Монолитный
1528;20;Выборгский;8900000;160360;55,50012472;Монолитный
1529;16;Петроградский;64000000;628067;101,8999565;Монолитный
1530;12;Красногвардейский;9500000;145929;65,10015144;Монолитный
1531;15;Красногвардейский;11700000;132578;88,24993589;Монолитный
1532;9;Выборгский;15450000;241406;64,00006628;Монолитный
1533;30;Приморский;12999000;207652;62,5999268;Монолитный
1534;60;Красносельский;14850000;233858;63,50007269;Монолитный
1535;15;Центральный;35000000;409357;85,49994259;Монолитный
1536;6;Петроградский;26000000;375235;69,28991166;Монолитный
1537;20;Выборгский;7950000;150284;52,89984296;Монолитный
1538;24;Невский;8750000;145833;60,00013714;Монолитный
1539;18;Ленинградская область;7950000;142473;55,80004632;Монолитный
1540;15;Приморский;13500000;239362;56,39992981;Монолитный
1541;12;Московский;12699000;174701;72,68991019;Монолитный
1542;9;Фрунзенский;11400000;160563;71,00016816;Монолитный
1543;33;Курортный;9900000;152308;64,99986869;Монолитный
1544;15;Ленинградская область;6500000;132897;48,91005817;Монолитный
1545;20;Приморский;51500000;384328;134,0001249;Монолитный
1546;20;Ленинградская область;7390000;141571;52,19995621;Монолитный
1547;20;Ленинградская область;5150000;95194;54,10004832;Монолитный
1548;15;Московский;14350000;180503;79,50006371;Монолитный
1549;8;Ленинградская область;7850000;130833;60,00015287;Монолитный
1550;7;Калининский;13400000;183562;72,99985836;Монолитный
1551;15;Ленинградская область;6999000;123222;56,79992209;Монолитный
1552;11;Приморский;11100000;169699;65,4099317;Монолитный
1553;4;Приморский;16000000;290381;55,10002376;Монолитный
1554;57;Пушкинский;13300000;182692;72,80012261;Монолитный
1555;12;Ленинградская область;8400000;165680;50,70014486;Монолитный
1556;15;Выборгский;10750000;137821;77,99972428;Монолитный
1557;2;Адмиралтейский;22000000;309859;71,0000355;Монолитный
1558;7;Московский;16300000;245852;66,30005044;Монолитный
1559;18;Приморский;15250000;217857;70,0000459;Монолитный
1560;15;Выборгский;14300000;201408;71,00015888;Монолитный
1561;9;Выборгский;14800000;236422;62,59992725;Монолитный
1562;12;Ленинградская область;7300000;133945;54,49998134;Монолитный
1563;12;Красносельский;6850000;117094;58,50000854;Монолитный
1564;60;Пушкинский;7400000;116535;63,50023598;Монолитный
1565;60;Пушкинский;10000000;129534;77,19980854;Монолитный
1566;45;Красногвардейский;11000000;177134;62,09987919;Монолитный
1567;8;Московский;21900000;365000;60;Монолитный
1568;15;Приморский;9000000;159858;56,29996622;Монолитный
1569;18;Красногвардейский;10900000;205273;53,10001802;Монолитный
1570;11;Московский;11800000;199324;59,20009633;Монолитный
1571;7;Центральный;22900000;297403;76,99989576;Монолитный
1572;20;Невский;8360000;175262;47,70001483;Монолитный
1573;20;Выборгский;9000000;157895;56,999905;Монолитный
1574;15;Невский;6950000;128466;54,09991749;Монолитный
1575;16;Адмиралтейский;12750000;230561;55,29989894;Монолитный
1576;12;Фрунзенский;13700000;220257;62,20006629;Монолитный
1577;20;Выборгский;15370000;226029;68,00012388;Монолитный
1578;13;Выборгский;14300000;235857;60,62995798;Монолитный
1579;12;Ленинградская область;7350000;121488;60,49980245;Монолитный
1580;18;Пушкинский;7400000;117274;63,10009039;Монолитный
1581;45;Красногвардейский;7950000;132500;60;Монолитный
1582;60;Выборгский;8850000;147010;60,1999864;Монолитный
1583;15;Приморский;10600000;216769;48,89998109;Монолитный
1584;30;Красногвардейский;6300000;148936;42,30004834;Монолитный
1585;60;Пушкинский;5900000;133484;44,20005394;Монолитный
1586;17;Выборгский;8499000;157798;53,85999823;Монолитный
1587;18;Красногвардейский;20600000;306548;67,19991649;Монолитный
1588;12;Красногвардейский;9100000;152429;59,69992587;Монолитный
1589;30;Приморский;18500000;188199;98,30020351;Монолитный
1590;10;Красногвардейский;19990000;334841;59,699977;Монолитный
1591;18;Петроградский;55000000;305556;179,9997382;Монолитный
1592;30;Пушкинский;9490000;139354;68,0999469;Монолитный
1593;120;Ленинградская область;6500000;128713;50,4999495;Монолитный
1594;18;Калининский;15700000;229197;68,500024;Монолитный
1595;11;Московский;13500000;201493;66,99984615;Монолитный
1596;10;Калининский;13350000;182877;72,99988517;Монолитный
1597;10;Ленинградская область;11000000;174603;63,000063;Монолитный
1598;69;Ленинградская область;6800000;90667;74,99972427;Монолитный
1599;20;Ленинградская область;5100000;88083;57,89993529;Монолитный
1600;21;Красносельский;11500000;222868;51,60005025;Монолитный
1601;15;Красносельский;9950000;140141;70,99992151;Монолитный
1602;10;Ленинградская область;7780000;154672;50,29998966;Монолитный
1603;21;Красносельский;12500000;241313;51,79994447;Монолитный
1604;15;Фрунзенский;13850000;237320;58,36002023;Монолитный
1605;33;Красносельский;13400000;167920;79,79990472;Монолитный
1606;11;Адмиралтейский;27800000;343210;80,99997086;Монолитный
1607;33;Красногвардейский;7850000;133959;58,60001941;Монолитный
1608;30;Красносельский;13000000;203220;63,97008168;Монолитный
1609;13;Пушкинский;8750000;137147;63,80015604;Монолитный
1610;30;Ленинградская область;8550000;148696;57,4998655;Монолитный
1611;10;Петроградский;51150000;613309;83,40004794;Монолитный
1612;33;Красносельский;15500000;189255;81,9000819;Монолитный
1613;10;Выборгский;6565000;132359;49,59995165;Монолитный
1614;18;Адмиралтейский;15500000;364706;42,49998629;Монолитный
1615;12;Московский;15490000;258167;59,99992253;Монолитный
1616;12;Красногвардейский;14000000;264400;52,95007564;Монолитный
1617;42;Ленинградская область;4563900;99000;46,1;Монолитный
1618;5;Курортный;24400000;357771;68,20004975;Монолитный
1619;15;Ленинградская область;9700000;162752;59,59988203;Монолитный
1620;7;Невский;10490000;176303;59,49983835;Монолитный
1621;9;Выборгский;14500000;229430;63,20010461;Монолитный
1622;18;Ленинградская область;6100000;112963;53,9999823;Монолитный
1623;10;Выборгский;9550000;161864;59,00014827;Монолитный
1624;12;Красносельский;13000000;212072;61,29993587;Монолитный
1625;12;Приморский;11990000;218000;55;Монолитный
1626;19;Курортный;12200000;76972;158,4991945;Монолитный
1627;90;Ленинградская область;6100000;124490;48,99991967;Монолитный
1628;45;Петродворцовый;8473746;198821;42,61997475;Монолитный
1629;30;Невский;7700000;122222;63,00011455;Монолитный
1630;30;Приморский;10700000;205769;52,00005832;Монолитный
1631;16;Адмиралтейский;11702693;217927;53,70006011;Монолитный
1632;15;Невский;5650000;138142;40,89994354;Монолитный
1633;13;Ленинградская область;10500000;188172;55,80001275;Монолитный
1634;17;Красносельский;12700000;198438;63,99983874;Монолитный
1635;11;Выборгский;14500000;232558;62,35003741;Монолитный
1636;15;Красногвардейский;17906459;277018;64,64005588;Монолитный
1637;15;Ленинградская область;11200000;150174;74,58015369;Монолитный
1638;6;Красногвардейский;16241725;304723;53,29996423;Монолитный
1639;24;Василеостровский;12500000;231481;54,00011232;Монолитный
1640;7;Ленинградская область;8300000;148214;56,00010795;Монолитный
1641;12;Выборгский;12100000;186441;64,8998879;Монолитный
1642;15;Московский;12500000;244618;51,10008258;Монолитный
1643;33;Ленинградская область;5850000;105596;55,39982575;Монолитный
1644;6;Ленинградская область;7500000;145068;51,69989246;Монолитный
1645;10;Невский;14500000;281772;51,46004571;Монолитный
1646;20;Ленинградская область;5323500;101400;52,5;Монолитный
1647;6;Ленинградская область;6488940;130300;49,8;Монолитный
1648;9;Ленинградская область;7750000;145951;53,10001302;Монолитный
1649;15;Ленинградская область;6500000;130000;50;Монолитный
1650;15;Адмиралтейский;15847800;260227;60,89990662;Монолитный
1651;9;Центральный;29990000;348721;85,99998279;Монолитный
1652;17;Василеостровский;18764400;285000;65,84;Монолитный
1653;33;Ленинградская область;4735670;106900;44,3;Монолитный
1654;10;Адмиралтейский;23800000;293827;81,00004424;Монолитный
1655;9;Василеостровский;26418510;316200;83,55;Монолитный
1656;18;Петроградский;31843200;465000;68,48;Монолитный
1657;12;Невский;11500000;198276;57,99995965;Монолитный
1658;8;Петроградский;29500000;250000;118;Монолитный
1659;11;Выборгский;13470000;222571;60,52001384;Монолитный
1660;15;Выборгский;14890000;224924;66,20013871;Монолитный
1661;15;Московский;12816640;258400;49,6;Монолитный
1662;21;Приморский;10332315;163771;63,09001594;Монолитный
1663;15;Приморский;10058880;156000;64,48;Монолитный
1664;12;Ленинградская область;7490000;151619;49,40014114;Монолитный
1665;30;Приморский;20000000;260078;76,90000692;Монолитный
1666;10;Московский;12493200;215400;58;Монолитный
1667;17;Петроградский;45188000;520000;86,9;Монолитный
1668;20;Василеостровский;13230000;306250;43,2;Монолитный
1669;15;Петроградский;17900000;266369;67,20001201;Монолитный
1670;60;Ленинградская область;7000000;118443;59,10015788;Монолитный
1671;27;Красносельский;11800000;212996;55,40010141;Монолитный
1672;20;Московский;12700000;321519;39,49999844;Монолитный
1673;16;Петроградский;28613740;323319;88,50002629;Монолитный
1674;15;Василеостровский;17000000;247093;68,80000648;Монолитный
1675;9;Адмиралтейский;24184909;310063;77,99998387;Монолитный
1676;24;Пушкинский;6300000;101286;62,20010663;Монолитный
1677;18;Пушкинский;7500000;130435;57,49990417;Монолитный
1678;45;Красносельский;14900000;226444;65,79993288;Монолитный
1679;15;Выборгский;15200000;190476;79,8000798;Монолитный
1680;19;Выборгский;67383236;408383;165,0001004;Монолитный
1681;60;Ленинградская область;5800000;109434;52,99998172;Монолитный
1682;9;Центральный;20500000;284091;72,15997691;Монолитный
1683;42;Колпинский;6325150;122914;51,45996388;Монолитный
1684;15;Выборгский;8000000;147330;54,29987104;Монолитный
1685;17;Приморский;23089200;426000;54,2;Монолитный
1686;8;Приморский;18931723;253776;74,60013161;Монолитный
1687;54;Колпинский;9180000;160771;57,0998501;Монолитный
1688;12;Красносельский;7990000;144720;55,21006081;Монолитный
1689;12;Приморский;9700000;179630;53,99988866;Монолитный
1690;16;Выборгский;8550000;142263;60,09995572;Монолитный
1691;12;Выборгский;8100000;128571;63,00021;Монолитный
1692;30;Красногвардейский;6600000;141631;46,59996752;Монолитный
1693;45;Красносельский;8200000;155598;52,69990617;Монолитный
1694;21;Василеостровский;8000000;210526;38,000057;Монолитный
1695;10;Выборгский;9300000;172158;54,02014429;Монолитный
1696;60;Невский;7700000;121317;63,47008251;Монолитный
1697;20;Невский;9900000;165829;59,70005246;Монолитный
1698;75;Ленинградская область;7850000;129325;60,69978736;Монолитный
1699;18;Пушкинский;7650000;123786;61,80020358;Монолитный
1700;45;Московский;9200000;139945;65,74011219;Монолитный
1701;30;Невский;9480000;172364;54,99988397;Монолитный
1702;69;Колпинский;7000000;114754;61,00005229;Монолитный
1703;10;Выборгский;10200000;166667;61,1998776;Монолитный
1704;150;Пушкинский;6750000;107143;62,999916;Монолитный
1705;16;Ленинградская область;8490000;157807;53,79989481;Монолитный
1706;24;Невский;10000000;166667;59,99988;Монолитный
1707;42;Красносельский;8750076;162520;53,83999508;Монолитный
1708;21;Приморский;9900133;163395;60,5901833;Монолитный
1709;21;Приморский;10050038;161032;62,41019176;Монолитный
1710;51;Курортный;8445966;157574;53,59999746;Монолитный
1711;15;Приморский;8626500;150000;57,51;Монолитный
1712;15;Приморский;7342400;160000;45,89;Монолитный
1713;15;Приморский;8373120;147000;56,96;Монолитный
1714;24;Приморский;8443500;130000;64,95;Монолитный
1715;15;Приморский;8410500;150000;56,07;Монолитный
1716;15;Приморский;8949000;150000;59,66;Монолитный
1717;15;Приморский;9019000;145000;62,2;Монолитный
1718;15;Приморский;9137900;145000;63,02;Монолитный
1719;24;Приморский;9128700;135000;67,62;Монолитный
1720;15;Приморский;9660750;165000;58,55;Монолитный
1721;24;Приморский;9906330;147000;67,39;Монолитный
1722;15;Приморский;10006400;160000;62,54;Монолитный
1723;15;Приморский;10108800;160000;63,18;Монолитный
1724;15;Приморский;10201600;160000;63,76;Монолитный
1725;15;Приморский;10233000;150000;68,22;Монолитный
1726;6;Ленинградская область;8490000;147140;57,70014952;Монолитный
1727;9;Ленинградская область;7600000;161017;47,19998509;Монолитный
1728;18;Невский;10000000;163934;61,0001586;Монолитный
1729;6;Ленинградская область;6999000;121090;57,79998348;Монолитный
1730;12;Московский;9720000;170706;56,94000211;Монолитный
1731;24;Приморский;6240000;170492;36,59995777;Монолитный
1732;60;Пушкинский;9700000;186538;52,00012866;Монолитный
1733;33;Пушкинский;10000000;134048;74,60014323;Монолитный
1734;15;Ленинградская область;6243400;106000;58,9;Монолитный
1735;10;Ленинградская область;6700000;120072;55,79985342;Монолитный
1736;10;Приморский;9652646;178356;54,1201081;Монолитный
1737;18;Приморский;9450255;184936;51,10013734;Монолитный
1738;45;Ленинградская область;8000000;142602;56,10019495;Монолитный
1739;90;Красносельский;7800000;106849;73,00021526;Монолитный
1740;105;Ленинградская область;5417850;95000;57,03;Монолитный
1741;17;Невский;6330000;133375;47,4601687;Монолитный
1742;15;Ленинградская область;7200000;101124;71,1997152;Монолитный
1743;6;Ленинградская область;7500000;125000;60;Монолитный
1744;12;Ленинградская область;7450000;115683;64,40012794;Монолитный
1745;21;Приморский;9100000;165154;55,1000884;Монолитный
1746;18;Приморский;9400203;174887;53,75015296;Монолитный
1747;9;Московский;10220264;189299;53,99005806;Монолитный
1748;11;Выборгский;9850000;188409;52,27988047;Монолитный
1749;39;Красносельский;10050633;163905;61,31986822;Монолитный
1750;63;Пушкинский;8574800;194000;44,2;Монолитный
1751;15;Красногвардейский;9561920;177073;53,99987576;Монолитный
1752;15;Ленинградская область;5456700;94000;58,05;Монолитный
1753;21;Приморский;9100000;178082;51,10005503;Монолитный
1754;39;Красносельский;7950000;108755;73,10008735;Монолитный
1755;39;Ленинградская область;6150000;112329;54,74988649;Монолитный
1756;42;Красносельский;8750590;168184;52,02986015;Монолитный
1757;39;Красносельский;9600828;165674;57,95011891;Монолитный
1758;36;Красносельский;9750078;171054;57;Монолитный
1759;20;Невский;7990000;159163;50,20010932;Монолитный
1760;42;Ленинградская область;5397000;102800;52,5;Монолитный
1761;6;Ленинградская область;5337360;105900;50,4;Монолитный
1762;6;Ленинградская область;7104240;114400;62,1;Монолитный
1763;6;Ленинградская область;7200900;127000;56,7;Монолитный
1764;18;Красногвардейский;9146770;142918;64,00012595;Монолитный
1765;18;Красногвардейский;9377780;154240;60,7999222;Монолитный
1766;39;Красносельский;8600305;170168;50,54008392;Монолитный
1767;39;Красносельский;8800684;166743;52,77993079;Монолитный
1768;6;Ленинградская область;6840320;133600;51,2;Монолитный
1769;39;Красносельский;9900095;167260;59,18985412;Монолитный
1770;9;Невский;8778715;144553;60,73007824;Монолитный
1771;39;Красносельский;9700244;168729;57,49008173;Монолитный
1772;78;Петродворцовый;9682300;254797;38,00005495;Монолитный
1773;27;Приморский;9228544;161904;57,00009882;Монолитный
1774;21;Пушкинский;6679200;110000;60,72;Монолитный
1775;6;Ленинградская область;7194000;130800;55;Монолитный
1776;42;Колпинский;5673597;105910;53,56998395;Монолитный
1777;39;Красносельский;9700652;167686;57,85010078;Монолитный
1778;15;Ленинградская область;5128640;94000;54,56;Монолитный
1779;10;Приморский;9425191;188203;50,07991902;Монолитный
1780;18;Красногвардейский;9162940;153999;59,49999675;Монолитный
1781;18;Приморский;9249213;180931;51,12011209;Монолитный
1782;12;Ленинградская область;6300000;142212;44,30005907;Монолитный
1783;6;Ленинградская область;7884500;121300;65;Монолитный
1784;15;Ленинградская область;9100000;171698;53,00003495;Монолитный
1785;42;Ленинградская область;5032960;98300;51,2;Монолитный
1786;42;Ленинградская область;6685770;102700;65,1;Монолитный
1787;39;Красносельский;8650394;166964;51,80993508;Монолитный
1788;12;Ленинградская область;5850000;104858;55,78973469;Монолитный
1789;18;Приморский;9882633;179033;55,20006368;Монолитный
1790;27;Приморский;5042100;137200;36,75;Монолитный
1791;33;Ленинградская область;6000000;109489;54,80002557;Монолитный
1792;6;Ленинградская область;6945120;137800;50,4;Монолитный
1793;9;Невский;8011972;126531;63,32022983;Монолитный
1794;33;Приморский;9749568;162493;59,99992615;Монолитный
1795;48;Колпинский;5928870;111152;53,34020081;Монолитный
1796;42;Колпинский;6083780;120902;50,31992854;Монолитный
1797;42;Ленинградская область;4904640;104800;46,8;Монолитный
1798;36;Ленинградская область;6880650;105000;65,53;Монолитный
1799;18;Приморский;7013026;187514;37,4000128;Монолитный
1800;42;Московский;7850464;152584;51,45011272;Монолитный
1801;33;Приморский;9386080;170656;55;Монолитный
1802;51;Курортный;8686216;154559;56,20000129;Монолитный
1803;12;Кировский;9882100;266795;37,04004948;Монолитный
1804;42;Московский;9000123;150002;60,00002;Монолитный
1805;63;Пушкинский;9832914;163827;60,02010658;Монолитный
1806;36;Московский;9250519;150390;61,51020015;Монолитный
1807;42;Ленинградская область;4875680;98300;49,6;Монолитный
1808;9;Ленинградская область;5562000;100000;55,62;Монолитный
1809;20;Ленинградская область;5456480;101800;53,6;Монолитный
1810;39;Ленинградская область;5858490;123000;47,63;Монолитный
1811;10;Приморский;10037111;151093;66,43001992;Монолитный
1812;45;Колпинский;8198747;128507;63,80000311;Монолитный
1813;9;Ленинградская область;4947950;88880;55,6700045;Монолитный
1814;6;Ленинградская область;5647360;110300;51,2;Монолитный
1815;45;Петродворцовый;8560860;196350;43,6;Монолитный
1816;18;Красногвардейский;9219400;160059;57,60001;Монолитный
1817;6;Ленинградская область;6909240;133900;51,6;Монолитный
1818;42;Петродворцовый;8489640;157800;53,8;Монолитный
1819;45;Петродворцовый;7707040;159500;48,32;Монолитный
1820;20;Ленинградская область;6478080;96400;67,2;Монолитный
1821;36;Московский;8000699;154364;51,83008344;Монолитный
1822;36;Московский;8250329;149219;55,2900703;Монолитный
1823;36;Московский;8750291;160910;54,38003232;Монолитный
1824;36;Московский;9400181;157115;59,82993985;Монолитный
1825;33;Ленинградская область;5543640;104400;53,1;Монолитный
1826;27;Приморский;6118574;118600;51,59;Монолитный
1827;18;Приморский;7875980;176750;44,56;Монолитный
1828;18;Приморский;8595385;175811;48,88991588;Монолитный
1829;19;Ленинградская область;7897853;119105;66,31000378;Монолитный
1830;63;Пушкинский;9560912;147704;64,73021719;Монолитный
1831;42;Московский;7700392;148427;51,87999488;Монолитный
1832;42;Московский;7950377;147475;53,9099983;Монолитный
1833;18;Приморский;8302982;197455;42,0499962;Монолитный
1834;42;Московский;8450235;143565;58,85999373;Монолитный
1835;9;Ленинградская область;8677200;140000;61,98;Монолитный
1836;42;Петродворцовый;9222144;153600;60,04;Монолитный
1837;27;Приморский;9327696;166566;56;Монолитный
1838;42;Петродворцовый;8335080;152100;54,8;Монолитный
1839;18;Красногвардейский;9286600;155815;59,60016686;Монолитный
1840;19;Ленинградская область;6996319;131140;53,35;Монолитный
1841;42;Пушкинский;8764350;147300;59,5;Монолитный
1842;15;Невский;7610459;138422;54,98012599;Монолитный
1843;36;Московский;8000828;152339;52,51989313;Монолитный
1844;6;Ленинградская область;5869440;101900;57,6;Монолитный
1845;21;Приморский;9820003;170694;57,52986631;Монолитный
1846;15;Ленинградская область;5108900;94000;54,35;Монолитный
1847;36;Московский;7900204;157972;50,0101537;Монолитный
1848;36;Московский;8750730;152452;57,39990292;Монолитный
1849;105;Ленинградская область;4581500;85000;53,9;Монолитный
1850;12;Кировский;10042344;239503;41,9299299;Монолитный
1851;15;Невский;7324434;140963;51,95997531;Монолитный
1852;15;Невский;8268933;140868;58,69986796;Монолитный
1853;27;Красносельский;9398515;157271;59,76000025;Монолитный
1854;63;Пушкинский;9305546;149679;62,17001717;Монолитный
1855;9;Ленинградская область;4823580;102000;47,29;Монолитный
1856;36;Ленинградская область;6880650;105000;65,53;Монолитный
1857;36;Московский;10050263;150228;66,90006523;Монолитный
1858;33;Ленинградская область;5614690;101900;55,1;Монолитный
1859;42;Ленинградская область;6337734;115800;54,73;Монолитный
1860;42;Ленинградская область;6636345;113500;58,47;Монолитный
1861;9;Невский;9149171;141431;64,68999724;Монолитный
1862;27;Красносельский;9328405;194951;47,8499982;Монолитный
1863;33;Приморский;9335672;172883;53,99994216;Монолитный
1864;27;Красносельский;9657275;177393;54,44000045;Монолитный
1865;42;Колпинский;6351340;135974;46,70995926;Монолитный
1866;21;Приморский;9500570;165429;57,4298944;Монолитный
1867;9;Ленинградская область;8890360;148000;60,07;Монолитный
1868;18;Красногвардейский;9557680;147495;64,80002712;Монолитный
1869;18;Приморский;9236005;181883;50,77992446;Монолитный
1870;15;Василеостровский;9932988;213200;46,59;Монолитный
1871;39;Красносельский;8750518;170045;51,46001353;Монолитный
1872;9;Ленинградская область;6258548;127725;49,00018007;Монолитный
1873;21;Пушкинский;6493300;110000;59,03;Монолитный
1874;36;Ленинградская область;7096374;109800;64,63;Монолитный
1875;27;Приморский;7168440;123000;58,28;Монолитный
1876;20;Ленинградская область;6077820;99800;60,9;Монолитный
1877;33;Ленинградская область;5858100;103500;56,6;Монолитный
1878;42;Ленинградская область;6096003;118900;51,27;Монолитный
1879;9;Невский;8000739;138805;57,64013544;Монолитный
1880;9;Невский;8273050;158518;52,18997212;Монолитный
1881;18;Красногвардейский;9476000;159529;59,39985833;Монолитный
1882;21;Приморский;9674730;161219;60,00986236;Монолитный
1883;36;Московский;9150243;163397;56,00006732;Монолитный
1884;48;Колпинский;6476112;119972;53,98019538;Монолитный
1885;36;Московский;8000475;156964;50,97012691;Монолитный
1886;45;Петродворцовый;8724525;152500;57,21;Монолитный
1887;42;Ленинградская область;6437360;120100;53,6;Монолитный
1888;45;Петродворцовый;9500205;200850;47,3;Монолитный
1889;63;Пушкинский;9556312;157877;60,53010888;Монолитный
1890;42;Ленинградская область;4605390;99900;46,1;Монолитный
1891;33;Ленинградская область;5433820;104900;51,8;Монолитный
1892;33;Ленинградская область;6259200;96000;65,2;Монолитный
1893;6;Ленинградская область;6684500;145000;46,1;Монолитный
1894;9;Невский;8072949;153274;52,67004841;Монолитный
1895;39;Красносельский;9000281;166057;54,19994941;Монолитный
1896;27;Красносельский;9214105;194022;47,49000113;Монолитный
1897;27;Красносельский;9943878;172937;57,50000289;Монолитный
1898;45;Колпинский;6863934;114782;59,79974212;Монолитный
1899;20;Ленинградская область;6475840;94400;68,6;Монолитный
1900;42;Московский;8000326;146098;54,75999671;Монолитный
1901;15;Невский;8189366;155929;52,51983916;Монолитный
1902;9;Невский;8372395;150420;55,66011834;Монолитный
1903;24;Выборгский;8432980;151400;55,7;Монолитный
