flats;metro_distances;districts;prices;prices_per_meter;meters;materials
536;15;Кировский;9249000;171278;53,99992994;Кирпичный
537;7;Адмиралтейский;7549000;178886;42,20006037;Кирпичный
538;15;Ленинградская область;7849000;120754;64,99991719;Кирпичный
539;12;Московский;6949000;161230;43,09991937;Кирпичный
540;14;Ленинградская область;6150000;111575;55,11987452;Кирпичный
541;39;Ленинградская область;8548000;149965;56,99996666;Кирпичный
542;15;Красногвардейский;10949000;199799;54,80007407;Кирпичный
543;12;Невский;10000000;188679;53,0000689;Кирпичный
544;12;Фрунзенский;10500000;150000;70;Кирпичный
545;60;Пушкинский;9949000;155453;64,00005146;Кирпичный
546;30;Василеостровский;10949000;206196;53,09996314;Кирпичный
547;6;Кировский;8250000;160819;51,29990859;Кирпичный
548;105;Кронштадтский;4600000;117949;38,99990674;Кирпичный
549;45;Красногвардейский;8549000;178104;48,00004492;Кирпичный
550;14;Выборгский;7949000;148858;53,39988445;Кирпичный
551;60;Красногвардейский;6449000;129498;49,79999691;Кирпичный
552;12;Выборгский;10615000;163308;64,99987753;Кирпичный
553;10;Калининский;7599000;161681;46,9999567;Кирпичный
554;12;Адмиралтейский;8949000;150403;59,50014295;Кирпичный
555;30;Кировский;7029000;171439;41,00000583;Кирпичный
556;20;Выборгский;9499000;176890;53,70003957;Кирпичный
557;90;Калининский;8500000;153153;55,5000555;Кирпичный
558;21;Пушкинский;7799000;99604;78,30006827;Кирпичный
559;42;Ленинградская область;8249000;158635;51,99987392;Кирпичный
560;12;Ленинградская область;9100000;140000;65;Кирпичный
561;9;Фрунзенский;10749000;179150;60;Кирпичный
